player_id,player_name,age,nationality,team_name,start_year,end_year,appearances,league_name,image_url
173491,Joel Pohjanpalo,31,Finland,Palermo,2024,2025,26,Serie B,https://img.a.transfermarkt.technology/portrait/medium/173491-1658913890.jpg?lm=1
932740,Jonas Harder,20,Italy,Padova,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/932740-1707406029.jpg?lm=1
705355,Lorenzo Palmisani,21,Italy,Frosinone,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/705355-1745844113.jpg?lm=1
916430,Edoardo Motta,20,Italy,Reggiana,2024,2025,14,Serie B,https://img.a.transfermarkt.technology/portrait/medium/916430-1745844405.jpg?lm=1
908768,Tommaso Berti,21,Italy,Cesena,2024,2025,41,Serie B,https://img.a.transfermarkt.technology/portrait/medium/908768-1728992170.jpg?lm=1
908760,Cristian Shpendi,22,Albania,Cesena,2024,2025,46,Serie B,https://img.a.transfermarkt.technology/portrait/medium/908760-1689927391.jpg?lm=1
964087,Alphadjo Cissè,19,Italy,Catanzaro,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/964087-1704901805.jpg?lm=1
745418,Jacopo Martini,20,Italy,Südtirol,2024,2025,34,Serie B,https://img.a.transfermarkt.technology/portrait/medium/745418-1745852946.jpg?lm=1
879868,Marco Dalla Vecchia,20,Italy,Virtus Entella,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/879868-1725265936.jpg?lm=1
745444,Valerio Crespi,21,Italy,Avellino,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/745444-1672840933.jpg?lm=1
820635,Costantino Favasuli,21,Italy,Catanzaro,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/820635-1695050910.jpg?lm=1
821038,Stefano Di Mario,21,Italy,Virtus Entella,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/821038-1696843732.jpg?lm=1
567465,Sebastiano Desplanches,22,Italy,Pescara,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/567465-1634195994.jpg?lm=1
571600,Gabriele Bracaglia,22,Italy,Frosinone,2024,2025,38,Serie B,https://img.a.transfermarkt.technology/portrait/medium/571600-1727120026.jpg?lm=1
731491,Franco Carboni,22,Argentina,FC Empoli,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/731491-1675245800.jpg?lm=1
924349,Issa Doumbia,22,Italy,Venezia,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/924349-1730186334.jpg?lm=1
1044794,Alessandro Debenedetti,22,Italy,Virtus Entella,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/1044794-1745853366.jpg?lm=1
477556,Emanuele Zuelli,23,Italy,Carrarese,2024,2025,45,Serie B,https://img.a.transfermarkt.technology/portrait/medium/477556-1649682511.jpg?lm=1
487838,Niccolò Squizzato,23,Italy,Pescara,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/487838-1697555717.jpg?lm=1
487839,Simone Trimboli,23,Italy,Mantova,2024,2025,47,Serie B,https://img.a.transfermarkt.technology/portrait/medium/487839-1629183778.jpg?lm=1
503619,Andrea Papetti,23,Italy,Reggiana,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/503619-1613460990.jpg?lm=1
504209,Gianluca Busio,23,United States,Venezia,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/504209-1717660047.jpg?lm=1
504209,Gianluca Busio,21,United States,Venezia,2022,2023,65,Serie B,https://img.a.transfermarkt.technology/portrait/medium/504209-1717660047.jpg?lm=1
539582,Massimo Zilli,23,Italy,Frosinone,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/539582-1695050020.jpg?lm=1
552223,Filip Stanković,23,Serbia,Venezia,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/552223-1677782675.PNG?lm=1
616031,Michele Besaggio,23,Italy,Avellino,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/616031-1695053190.jpg?lm=1
657550,Alessandro Sersanti,23,Italy,Modena,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/657550-1758100225.png?lm=1
665057,Daniel Tonoli,23,Italy,Modena,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/665057-1758099896.png?lm=1
685509,Simone Tronchin,23,Italy,Südtirol,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/685509-1595237628.jpg?lm=1
707809,Joël Schingtienne,23,Belgium,Venezia,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/707809-1713280148.png?lm=1
888738,Farès Ghedjemis,23,France,Frosinone,2024,2025,33,Serie B,https://img.a.transfermarkt.technology/portrait/medium/888738-1724692906.jpg?lm=1
453864,Marvin Cuni,24,Albania,Sampdoria,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/453864-1730038127.png?lm=1
462086,Elayis Tavsan,24,Netherlands,Reggiana,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/462086-1704798303.jpg?lm=1
534084,Niccolò Pierozzi,24,Italy,Palermo,2024,2025,37,Serie B,https://img.a.transfermarkt.technology/portrait/medium/534084-1695027539.jpg?lm=1
534161,Ilias Koutsoupias,24,Greece,Frosinone,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/534161-1613466003.jpg?lm=1
593381,Simone Zanon,24,Italy,Carrarese,2024,2025,47,Serie B,https://img.a.transfermarkt.technology/portrait/medium/593381-1754843198.jpg?lm=1
973249,Jalen Blesa,24,Spain,Cesena,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/973249-1758687719.jpg?lm=1
394304,Manolo Portanova,25,Italy,Reggiana,2023,2025,84,Serie B,https://img.a.transfermarkt.technology/portrait/medium/394304-1697616327.jpg?lm=1
691678,Tommaso Fumagalli,25,Italy,Virtus Entella,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/691678-1565895735.jpg?lm=1
392515,Simone Santoro,26,Italy,Modena,2023,2025,61,Serie B,https://img.a.transfermarkt.technology/portrait/medium/392515-1758100318.png?lm=1
392524,Andrea Ciofi,26,Italy,Cesena,2024,2025,45,Serie B,https://img.a.transfermarkt.technology/portrait/medium/392524-1754864824.jpg?lm=1
393652,Raffaele Russo,26,Italy,Avellino,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/393652-1536482360.jpg?lm=1
461019,Samuele Birindelli,26,Italy,Monza,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/461019-1613547152.jpg?lm=1
498235,Pedro Mendes,26,Portugal,Modena,2024,2025,38,Serie B,https://img.a.transfermarkt.technology/portrait/medium/498235-1758100589.png?lm=1
903414,Carlo Faedo,26,Italy,Padova,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/903414-1624605296.png?lm=1
347656,Antonio Di Nardo,27,Italy,Pescara,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/347656-1543828882.jpg?lm=1
403718,Matias Antonini,27,Brazil,Catanzaro,2023,2025,47,Serie B,https://img.a.transfermarkt.technology/portrait/medium/403718-1695665870.jpg?lm=1
407265,Luca Zanimacchia,27,Italy,Modena,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/407265-1758100859.png?lm=1
435406,Demba Thiam,27,Senegal,Monza,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/435406-1535016996.jpg?lm=1
460842,Silvio Merkaj,27,Albania,Südtirol,2023,2025,80,Serie B,https://img.a.transfermarkt.technology/portrait/medium/460842-1662935067.jpg?lm=1
737781,Jérémy Le Douaron,27,France,Palermo,2024,2025,45,Serie B,https://img.a.transfermarkt.technology/portrait/medium/737781-1617875994.jpg?lm=1
292422,Simone Pontisso,28,Italy,Catanzaro,2023,2025,67,Serie B,https://img.a.transfermarkt.technology/portrait/medium/292422-1755555724.jpg?lm=1
301235,Giacomo Calò,28,Italy,Frosinone,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/301235-1598866104.jpg?lm=1
301236,Francesco Cassata,28,Italy,Spezia Calcio,2023,2025,71,Serie B,https://img.a.transfermarkt.technology/portrait/medium/301236-1712415741.jpg?lm=1
321065,Edoardo Soleri,28,Italy,Spezia Calcio,2024,2025,32,Serie B,https://img.a.transfermarkt.technology/portrait/medium/321065-1604827345.jpg?lm=1
321065,Edoardo Soleri,19,Italy,Spezia Calcio,2017,2017,5,Serie B,https://img.a.transfermarkt.technology/portrait/medium/321065-1604827345.jpg?lm=1
334992,Jonathan Klinsmann,28,United States,Cesena,2024,2025,39,Serie B,https://img.a.transfermarkt.technology/portrait/medium/334992-1678024209.jpg?lm=1
373899,Jacopo Segre,28,Italy,Palermo,2022,2025,114,Serie B,https://img.a.transfermarkt.technology/portrait/medium/373899-1613461826.jpg?lm=1
386850,Manuel Cicconi,28,Italy,Carrarese,2024,2025,46,Serie B,https://img.a.transfermarkt.technology/portrait/medium/386850-1635893644.jpg?lm=1
432105,Andrea Franzoni,28,Italy,Virtus Entella,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/432105-1584970318.png?lm=1
193867,Liam Henderson,29,Scotland,Sampdoria,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/193867-1661523222.jpg?lm=1
226093,Lorenco Simic,29,Croatia,Avellino,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/226093-1755554148.jpg?lm=1
238950,Francesco Di Mariano,29,Italy,Modena,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/238950-1758100518.png?lm=1
242078,Ales Mateju,29,Czech Republic,Spezia Calcio,2023,2025,80,Serie B,https://img.a.transfermarkt.technology/portrait/medium/242078-1595930929.jpg?lm=1
269870,Mattia Bortolussi,29,Italy,Padova,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/269870-1665738917.png?lm=1
209936,Ettore Gliozzi,30,Italy,Modena,2024,2025,35,Serie B,https://img.a.transfermarkt.technology/portrait/medium/209936-1758100638.png?lm=1
215167,Marco Bleve,30,Italy,Carrarese,2024,2025,36,Serie B,https://img.a.transfermarkt.technology/portrait/medium/215167-1663745460.jpg?lm=1
256688,Luca Parodi,30,Italy,Virtus Entella,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/256688-1696844348.jpg?lm=1
199583,Giovanni Zaro,31,Italy,Cesena,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/199583-1726068302.png?lm=1
231381,Andrea Fulignati,31,Italy,FC Empoli,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/231381-1753428070.jpg?lm=1
284595,Tommaso Augello,31,Italy,Palermo,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/284595-1663679538.jpg?lm=1
310527,Paulo Azzi,31,Brazil,Monza,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/310527-1692963812.jpg?lm=1
165893,Mirko Pigliacelli,32,Italy,Catanzaro,2024,2025,50,Serie B,https://img.a.transfermarkt.technology/portrait/medium/165893-1660116265.jpg?lm=1
198128,Manuel Marras,32,Italy,Reggiana,2024,2025,40,Serie B,https://img.a.transfermarkt.technology/portrait/medium/198128-1647292155.jpg?lm=1
216872,Francesco Zampano,32,Italy,Modena,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/216872-1758807325.png?lm=1
284604,Mattia Finotto,32,Italy,Carrarese,2024,2025,49,Serie B,https://img.a.transfermarkt.technology/portrait/medium/284604-1632547343.jpg?lm=1
354133,Kevin Varas,32,Ecuador,Padova,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/354133-1665489811.png?lm=1
62735,Pietro Iemmello,33,Italy,Catanzaro,2023,2025,82,Serie B,https://img.a.transfermarkt.technology/portrait/medium/62735-1613461376.jpg?lm=1
101213,Pedro Obiang,33,Equatorial Guinea,Monza,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/101213-1596011672.jpg?lm=1
160344,Leonardo Mancuso,33,Italy,Mantova,2024,2025,50,Serie B,https://img.a.transfermarkt.technology/portrait/medium/160344-1618994189.jpg?lm=1
257660,Marco Festa,33,Italy,Mantova,2024,2025,50,Serie B,https://img.a.transfermarkt.technology/portrait/medium/257660-1666352694.jpg?lm=1
307335,Raphael Odogwu,34,Italy,Südtirol,2022,2025,117,Serie B,https://img.a.transfermarkt.technology/portrait/medium/307335-1681208705.jpg?lm=1
95736,Leandro Chichizola,35,Argentina,Modena,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/95736-1758099624.png?lm=1
41780,Ivan Marconi,36,Italy,Virtus Entella,2025,2025,12,Serie B,https://img.a.transfermarkt.technology/portrait/medium/41780-1580887264.jpg?lm=1
33763,Massimo Coda,37,Italy,Sampdoria,2024,2025,45,Serie B,https://img.a.transfermarkt.technology/portrait/medium/33763-1692964067.jpg?lm=1
731525,Rareș Burnete,21,Romania,Juve Stabia,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/731525-1709655620.jpg?lm=1
744621,Matteo Dagasso,21,Italy,Pescara,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/744621-1697555407.jpg?lm=1
386967,Przemysław Wiśniewski,27,Poland,Spezia Calcio,2023,2025,44,Serie B,https://img.a.transfermarkt.technology/portrait/medium/386967-1674115196.jpg?lm=1
981136,Fabio Rispoli,19,Italy,Catanzaro,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/981136-1730128894.jpg?lm=1
1039342,Raphael Kofler,20,Italy,Südtirol,2023,2025,55,Serie B,https://img.a.transfermarkt.technology/portrait/medium/1039342-1695051461.jpg?lm=1
818888,Antonio Raimondo,21,Italy,Frosinone,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/818888-1663656468.jpg?lm=1
804812,Anthony Oyono,24,Gabon,Frosinone,2024,2025,43,Serie B,https://img.a.transfermarkt.technology/portrait/medium/804812-1653429823.jpg?lm=1
804812,Anthony Oyono,21,Gabon,Frosinone,2021,2022,15,Serie B,https://img.a.transfermarkt.technology/portrait/medium/804812-1653429823.jpg?lm=1
696550,Salim Diakité,25,Mali,Palermo,2024,2025,42,Serie B,https://img.a.transfermarkt.technology/portrait/medium/696550-1675941881.jpg?lm=1
131758,Jesse Joronen,32,Finland,Palermo,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/131758-1724827205.jpg?lm=1
784575,Mehdi Dorval,24,Algeria,Bari,2022,2025,101,Serie B,https://img.a.transfermarkt.technology/portrait/medium/784575-1755555054.jpg?lm=1
927905,Matteo Cichella,20,Italy,Frosinone,2024,2025,30,Serie B,https://img.a.transfermarkt.technology/portrait/medium/927905-1727119771.jpg?lm=1
984708,Siren Diao,20,Spain,Cesena,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/984708-1692961540.jpg?lm=1
669793,Andrea Bozzolan,21,Italy,Reggiana,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/669793-1699705385.png?lm=1
745778,Gabriele Calvani,21,Italy,Frosinone,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/745778-1745569323.jpg?lm=1
908791,Matteo Francesconi,21,Italy,Cesena,2024,2025,40,Serie B,https://img.a.transfermarkt.technology/portrait/medium/908791-1661853942.JPG?lm=1
679754,Niklas Pyyhtiä,22,Finland,Modena,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/679754-1758100281.png?lm=1
812654,Rareș Ilie,22,Romania,FC Empoli,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/812654-1667549482.jpg?lm=1
817150,Fabio Abiuso,22,Italy,Carrarese,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/817150-1726143144.png?lm=1
918811,Mattia Fortin,22,Italy,Padova,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/918811-1700051135.jpg?lm=1
931567,Stiven Shpendi,22,Albania,FC Empoli,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/931567-1755555292.jpg?lm=1
487835,Alessandro Pio Riccio,23,Italy,Sampdoria,2024,2025,37,Serie B,https://img.a.transfermarkt.technology/portrait/medium/487835-1657778424.jpg?lm=1
555113,Patryk Peda,23,Poland,Palermo,2024,2025,22,Serie B,https://img.a.transfermarkt.technology/portrait/medium/555113-1632385089.jpg?lm=1
624436,Gerard Yepes,23,Spain,FC Empoli,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/624436-1663680108.jpg?lm=1
628558,Riccardo Ciervo,23,Italy,Cesena,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/628558-1634291987.jpg?lm=1
917375,Antoine Hainaut,23,France,Venezia,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/917375-1730185355.jpg?lm=1
479284,Giuseppe Leone,24,Italy,Juve Stabia,2024,2025,45,Serie B,https://img.a.transfermarkt.technology/portrait/medium/479284-1667902903.jpg?lm=1
532040,Giuseppe Di Serio,24,Italy,Spezia Calcio,2023,2025,51,Serie B,https://img.a.transfermarkt.technology/portrait/medium/532040-1602062788.jpg?lm=1
534166,Lorenzo Meazzi,24,Italy,Pescara,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/534166-1696852007.jpg?lm=1
364206,Andrea Adorante,25,Italy,Venezia,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/364206-1611301906.jpg?lm=1
392881,Antonio Candela,25,Italy,Spezia Calcio,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/392881-1717659772.jpg?lm=1
423614,Gabriele Corbo,25,Italy,Pescara,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/423614-1710100254.jpg?lm=1
370701,Michele Cerofolini,26,Italy,Bari,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/370701-1625040724.jpg?lm=1
392963,Salvatore Elia,26,Italy,FC Empoli,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/392963-1754903274.jpg?lm=1
394352,Massimo Bertagnoli,26,Italy,Reggiana,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/394352-1570173278.png?lm=1
475149,Marco Imperiale,26,Italy,Carrarese,2024,2025,47,Serie B,https://img.a.transfermarkt.technology/portrait/medium/475149-1754843027.jpg?lm=1
611197,Simone Davi,26,Italy,Südtirol,2022,2025,80,Serie B,https://img.a.transfermarkt.technology/portrait/medium/611197-1754939772.jpg?lm=1
302497,Nicola Mosti,27,Italy,Juve Stabia,2024,2025,30,Serie B,https://img.a.transfermarkt.technology/portrait/medium/302497-1696851017.jpg?lm=1
393797,Alessandro Confente,27,Italy,Juve Stabia,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/393797-1754869021.jpg?lm=1
394920,Filippo Sgarbi,27,Italy,Padova,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/394920-1632465218.jpg?lm=1
395118,Pietro Fusi,27,Italy,Padova,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/395118-1542894201.jpg?lm=1
395805,Massimiliano Mangraviti,27,Italy,Cesena,2024,2025,47,Serie B,https://img.a.transfermarkt.technology/portrait/medium/395805-1716474999.jpg?lm=1
411666,Emanuele Adamo,27,Italy,Cesena,2024,2025,44,Serie B,https://img.a.transfermarkt.technology/portrait/medium/411666-1638404149.png?lm=1
297444,Luca Magnino,28,Italy,Modena,2022,2025,114,Serie B,https://img.a.transfermarkt.technology/portrait/medium/297444-1758100360.png?lm=1
303116,Gaetano Castrovilli,28,Italy,Bari,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/303116-1730126731.jpg?lm=1
303116,Gaetano Castrovilli,19,Italy,Bari,2016,2016,10,Serie B,https://img.a.transfermarkt.technology/portrait/medium/303116-1730126731.jpg?lm=1
303116,Gaetano Castrovilli,17,Italy,Bari,2014,2014,1,Serie B,https://img.a.transfermarkt.technology/portrait/medium/303116-1730126731.jpg?lm=1
334343,Marco Nichetti,28,Italy,Virtus Entella,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/334343-1539438143.jpg?lm=1
381794,Lorenzo Carissoni,28,Italy,Juve Stabia,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/381794-1697051745.jpg?lm=1
425239,Alessandro Capelli,28,Italy,Padova,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/425239-1631114246.jpg?lm=1
238977,Gabriele Moncini,29,Italy,Bari,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/238977-1632543801.jpg?lm=1
239099,Pietro Ceccaroni,29,Italy,Palermo,2023,2025,69,Serie B,https://img.a.transfermarkt.technology/portrait/medium/239099-1613568492.jpg?lm=1
283060,Lorenzo Dickmann,29,Italy,Bari,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/283060-1755554665.jpg?lm=1
287663,Luca Valzania,29,Italy,Pescara,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/287663-1661846304.jpg?lm=1
287663,Luca Valzania,21,Italy,Pescara,2017,2017,33,Serie B,https://img.a.transfermarkt.technology/portrait/medium/287663-1661846304.jpg?lm=1
287863,Antonio Palumbo,29,Italy,Palermo,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/287863-1726140213.png?lm=1
336160,Andrija Novakovich,29,United States,Reggiana,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/336160-1632541226.jpg?lm=1
241889,Antonio Barreca,30,Italy,Padova,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/241889-1633101746.jpg?lm=1
248695,Andrea Tiritiello,30,Italy,Virtus Entella,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/248695-1632461433.jpg?lm=1
171696,Marco Perrotta,31,Italy,Padova,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/171696-1571907314.jpg?lm=1
131951,Kevin Lasagna,33,Italy,Padova,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/131951-1695219133.png?lm=1
163212,Davide Adorni,33,Italy,Modena,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/163212-1758099159.png?lm=1
163582,Salvatore Molina,33,Italy,Südtirol,2023,2025,63,Serie B,https://img.a.transfermarkt.technology/portrait/medium/163582-1661764254.jpg?lm=1
57285,Simone Colombi,34,Italy,Virtus Entella,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/57285-1595851830.jpg?lm=1
89034,Riccardo Brosco,34,Italy,Pescara,2025,2025,11,Serie B,https://img.a.transfermarkt.technology/portrait/medium/89034-1697554793.jpg?lm=1
89034,Riccardo Brosco,20,Italy,Pescara,2011,2011,22,Serie B,https://img.a.transfermarkt.technology/portrait/medium/89034-1697554793.jpg?lm=1
163222,Grégoire Defrel,34,France,Modena,2024,2025,37,Serie B,https://img.a.transfermarkt.technology/portrait/medium/163222-1758100675.png?lm=1
1198243,Bogdan Popov,18,Ukraine,FC Empoli,2025,2025,10,Serie B,https://img.a.transfermarkt.technology/portrait/medium/1198243-1755529975.jpg?lm=1
721227,Luigi Cherubini,21,Italy,Sampdoria,2025,2025,10,Serie B,https://img.a.transfermarkt.technology/portrait/medium/721227-1698056763.jpg?lm=1
439914,John Yeboah,25,Ecuador,Venezia,2025,2025,10,Serie B,https://img.a.transfermarkt.technology/portrait/medium/439914-1668768754.png?lm=1
900630,Brando Moruzzi,21,Italy,FC Empoli,2025,2025,10,Serie B,https://img.a.transfermarkt.technology/portrait/medium/900630-1697555041.jpg?lm=1
566613,Bjarki Bjarkason,25,Iceland,Venezia,2025,2025,10,Serie B,https://img.a.transfermarkt.technology/portrait/medium/566613-1717660343.jpg?lm=1
566613,Bjarki Bjarkason,23,Iceland,Venezia,2023,2023,32,Serie B,https://img.a.transfermarkt.technology/portrait/medium/566613-1717660343.jpg?lm=1
566613,Bjarki Bjarkason,20,Iceland,Venezia,2020,2020,9,Serie B,https://img.a.transfermarkt.technology/portrait/medium/566613-1717660343.jpg?lm=1
724107,Luca Di Maggio,20,Italy,Padova,2025,2025,10,Serie B,https://img.a.transfermarkt.technology/portrait/medium/724107-1699458286.jpg?lm=1
745427,Gabriele Guarino,21,Italy,FC Empoli,2025,2025,10,Serie B,https://img.a.transfermarkt.technology/portrait/medium/745427-1663678413.jpg?lm=1
412758,Giorgi Kvernadze,22,Georgia,Frosinone,2024,2025,43,Serie B,https://img.a.transfermarkt.technology/portrait/medium/412758-1704902690.jpg?lm=1
748720,Fabio Andrea Ruggeri,20,Italy,Carrarese,2025,2025,10,Serie B,https://img.a.transfermarkt.technology/portrait/medium/748720-1715640377.jpg?lm=1
650993,Filippo Missori,21,Italy,Avellino,2025,2025,10,Serie B,https://img.a.transfermarkt.technology/portrait/medium/650993-1692882881.jpg?lm=1
808559,Justin Kumi,21,Italy,Avellino,2025,2025,10,Serie B,https://img.a.transfermarkt.technology/portrait/medium/808559-1718228240.jpg?lm=1
937289,Simone Bonetti,21,Italy,Reggiana,2025,2025,10,Serie B,https://img.a.transfermarkt.technology/portrait/medium/937289-1697653157.jpg?lm=1
1082519,Charlys,21,Brazil,Reggiana,2025,2025,10,Serie B,https://img.a.transfermarkt.technology/portrait/medium/1082519-1681675943.jpg?lm=1
627625,Nicolò Radaelli,22,Italy,Mantova,2024,2025,30,Serie B,https://img.a.transfermarkt.technology/portrait/medium/627625-1745536005.jpg?lm=1
704283,Alessio Castellini,22,Italy,Mantova,2025,2025,10,Serie B,https://img.a.transfermarkt.technology/portrait/medium/704283-1745844720.jpg?lm=1
704456,Nosa Edward Obaretin,22,Italy,FC Empoli,2025,2025,10,Serie B,https://img.a.transfermarkt.technology/portrait/medium/704456-1698789493.png?lm=1
666268,Daniel Fila,23,Czech Republic,Venezia,2025,2025,10,Serie B,https://img.a.transfermarkt.technology/portrait/medium/666268-1739282166.jpg?lm=1
698082,Bryant Nieling,23,Netherlands,Modena,2025,2025,10,Serie B,https://img.a.transfermarkt.technology/portrait/medium/698082-1758099820.png?lm=1
702324,Rachid Kouda,23,Italy,Spezia Calcio,2023,2025,53,Serie B,https://img.a.transfermarkt.technology/portrait/medium/702324-1753435148.jpg?lm=1
221421,Kleis Bozhanaj,24,Albania,Carrarese,2025,2025,10,Serie B,https://img.a.transfermarkt.technology/portrait/medium/221421-1726140736.png?lm=1
457235,Devid Eugene Bouah,24,Italy,Carrarese,2024,2025,40,Serie B,https://img.a.transfermarkt.technology/portrait/medium/457235-1755555244.jpg?lm=1
497693,Tommaso Maggioni,24,Italy,Mantova,2024,2025,38,Serie B,https://img.a.transfermarkt.technology/portrait/medium/497693-1641382420.jpg?lm=1
538937,Stefano Cella,24,Italy,Mantova,2024,2025,32,Serie B,https://img.a.transfermarkt.technology/portrait/medium/538937-1656686967.jpg?lm=1
357983,Simone Ghidotti,25,Italy,Sampdoria,2024,2025,19,Serie B,https://img.a.transfermarkt.technology/portrait/medium/357983-1539607204.jpg?lm=1
390160,Salvatore Esposito,25,Italy,Spezia Calcio,2023,2025,81,Serie B,https://img.a.transfermarkt.technology/portrait/medium/390160-1664974136.jpg?lm=1
395190,Francesco Mezzoni,25,Italy,Virtus Entella,2025,2025,10,Serie B,https://img.a.transfermarkt.technology/portrait/medium/395190-1699705122.png?lm=1
